PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Gray, S",5.0,3,0,0,0,3,0,2.09
"Jax(W, 4-0)",1.0,0,0,0,0,2,0,2.59
"Smith, Joe(H, 12)",0.2,1,0,0,1,0,0,3.00
"Thielbar(H, 7)",0.1,0,0,0,0,0,0,5.16
"Duran, J",1.0,0,0,0,1,1,0,2.51
Cotton,1.0,1,0,0,1,1,0,2.03
,9.0,5,0,0,3,7,0,
