PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Stroman(L, 2-5)",4.0,10,9,9,1,7,3,5.32
Leiter Jr.,4.0,3,3,3,2,3,0,6.23
Schwindel,1.0,2,2,2,0,0,2,18.00
,9.0,15,14,14,3,10,5,
