,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,672,589,81,145,30,79,2,.246,.332,.462,.794
6 Seasons,2877,2427,392,588,148,405,15,.242,.353,.492,.845
