 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,96,72.8,--,96,--,--,--,--,--,--,--,--,--,--,--,--,--
2021,434,79.6,76.4,434,76.4,--,--,--,--,--,--,--,--,--,--,--,--
2022,669,79.4,75.4,669,75.4,--,--,--,--,--,--,--,--,--,--,--,--
