Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,22.9,18,16.8,1,2,7,12,66.7
2018,,23.8,34,29.8,4,15,21,14,41.2
2019,,23.8,29,28.4,1,12,24,12,41.4
2020,,22.5,10,11.9,-2,2,7,7,70.0
2021,,23.1,27,27.5,-1,13,13,18,66.7
2022,,23.0,36,33.3,3,7,24,14,38.9
Player,,23.3,154,147.6,6,51,96,77,50.0
