PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(W, 1-3)",6.0,1,0,0,4,7,0,5.79
"Hand(H, 3)",0.1,3,1,1,0,0,0,2.08
"Norwood(H, 1)",0.2,0,0,0,0,0,0,3.38
Bellatti,1.0,1,0,0,1,1,0,1.80
Jones,1.0,0,0,0,1,2,0,9.64
,9.0,5,1,1,6,10,0,
