PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Gomber(L, 1-2)",6.0,3,3,2,1,6,1,3.86
Kinley,0.2,1,4,1,3,0,0,1.13
Lawrence,1.1,0,0,0,1,3,0,1.69
,8.0,4,7,3,5,9,1,
