PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Kluber(L, 3-5)",3.0,7,5,5,2,1,0,3.91
Sanders,2.0,0,0,0,1,0,0,1.50
McKay,2.0,3,4,4,2,0,1,9.00
"Phillips, B",1.0,1,0,0,0,0,0,18.00
,8.0,11,9,9,5,1,1,
