PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Ryan(W, 8-4)",5.0,3,1,1,0,9,0,3.67
"Fulmer(H, 19)",1.0,1,0,0,0,1,0,3.12
"Thielbar(H, 10)",1.0,0,0,0,0,2,0,4.71
"Duran, J(H, 11)",1.0,0,0,0,1,1,0,2.11
"López, Jo(S, 20)",1.0,0,0,0,0,1,0,1.64
,9.0,4,1,1,1,14,0,
