PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Ureña,6.0,7,1,1,2,4,0,5.49
Lamet,1.0,1,0,0,0,2,0,5.93
"Estévez(W, 4-4)",1.0,0,0,0,0,1,0,3.50
"Bard, D(S, 31)",1.0,1,0,0,0,1,0,1.99
,9.0,9,1,1,2,8,0,
