Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,AZ,NL,P,32,32,183.1,39,21,14,4,2,,.897
2020,AZ,NL,P,5,5,31.1,10,7,3,0,0,,1.000
2021,AZ,NL,P,27,27,158.0,29,13,16,0,2,,1.000
2022,AZ,NL,P,33,33,200.1,35,15,19,1,2,,.971
4 Seasons,AZ,NL,P,97,97,573.0,113,56,52,5,6,,.956
