Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Arizona Diamondbacks,MLB,Home Games,5,5,3.02,17,17,0,104.1,420,91,35,35,9,31,102,1.17
Arizona Diamondbacks,MLB,Away Games,8,3,3.75,16,16,0,96.0,384,76,42,40,12,30,75,1.10
Arizona Diamondbacks,MLB,Day Games,3,1,2.52,11,11,0,64.1,257,53,18,18,4,19,58,1.12
Arizona Diamondbacks,MLB,Night Games,10,7,3.77,22,22,0,136.0,547,114,59,57,17,42,119,1.15
Arizona Diamondbacks,MLB,Leading Off,,,,33,,,49.2,206,46,,,7,11,51,1.15
Arizona Diamondbacks,MLB,Late / Close,,,,6,,,6.2,31,8,,,1,2,5,1.50
