Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,23,26.8,4.53,,25,27,342,49.5
2017,25,26.5,4.4,,42,46,404,39.9
2018,26,26.9,,,49,50,345,48.6
2019,27,26.3,4.34,,34,52,428,37.5
2020,28,25.0,4.64,,46,39,435,13.2
2021,29,25.7,4.54,,54,47,511,24.4
2022,30,25.8,4.54,,61,36,518,17.0
