Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Minnesota Twins,MLB,April,69,61,8,17,0,0,1,5,7,8,0,0,0,.279,.348,.328,.676
Minnesota Twins,MLB,May,101,90,12,23,4,0,4,16,8,17,0,0,0,.256,.307,.433,.740
Minnesota Twins,MLB,June,102,97,10,24,9,1,2,12,5,20,0,0,0,.247,.284,.423,.707
Minnesota Twins,MLB,July,49,46,6,14,4,0,2,9,2,8,0,0,0,.304,.327,.522,.849
Minnesota Twins,MLB,August,94,87,9,25,5,2,2,11,6,19,0,0,0,.287,.330,.460,.790
Minnesota Twins,MLB,September,117,103,14,34,5,0,1,8,11,21,1,0,2,.330,.402,.408,.810
Minnesota Twins,MLB,October,19,17,2,6,0,0,1,3,2,3,0,0,0,.353,.421,.529,.950
Minnesota Twins,MLB,Pre All-Star,308,283,33,74,16,1,8,36,21,53,0,0,0,.261,.308,.410,.718
Minnesota Twins,MLB,Post All-Star,243,218,28,69,11,2,5,28,20,43,1,0,2,.317,.374,.454,.828
