 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,128,87.0,83.8,--,--,--,--,128,83.8,--,--,--,--,--,--,--,--
2021,419,88.0,82.8,--,--,--,--,315,82.5,104,83.1,--,--,--,--,--,--
2022,382,87.7,82.4,--,--,--,--,379,82.5,3,--,--,--,--,--,--,--
