Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,L,136,19,14.0,.355,.139
2018,R,55,1,1.8,.234,.000
2019,L,56,17,30.4,.200,.093
2019,R,18,2,11.1,.150,.000
2020,L,115,45,39.1,.444,.193
2020,R,38,1,2.6,.226,.000
2021,L,672,305,45.4,.380,.362
2022,L,662,348,52.6,.332,.304
