Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,BAL,AL,LF,1,1,1.0,0,0,0,0,0,,.000
2018,BAL,AL,CF,45,42,376.2,111,108,2,1,0,,.991
2019,BAL,AL,CF,22,18,164.0,59,58,0,1,0,,.983
2020,BAL,AL,LF,4,0,11.0,2,1,1,0,1,,1.000
2020,BAL,AL,CF,41,36,298.2,100,100,0,0,0,,1.000
2020,BAL,AL,RF,4,2,23.0,2,2,0,0,0,,1.000
2020,BAL,AL,DH,1,0,0.0,0,0,0,0,0,,.000
2021,BAL,AL,CF,153,146,1264.0,402,389,7,6,2,,.985
2021,BAL,AL,DH,3,3,0.0,0,0,0,0,0,,.000
2022,BAL,AL,CF,150,140,1259.2,367,358,9,0,4,,1.000
2022,BAL,AL,DH,4,4,0.0,0,0,0,0,0,,.000
5 Seasons,BAL,AL,LF,5,1,12.0,2,1,1,0,1,,1.000
,BAL,AL,CF,411,382,3363.0,1039,1013,18,8,6,,.992
,BAL,AL,RF,4,2,23.0,2,2,0,0,0,,1.000
,BAL,AL,DH,8,7,0.0,0,0,0,0,0,,.000
