,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,672,608,89,157,16,64,34,.258,.318,.403,.721
5 Seasons,1765,1584,226,416,53,150,74,.263,.328,.432,.760
