Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,19.8,4,3.4,1,1,3,1,25.0
2019,,--,0,0.3,0,2,0,0,--
2020,,21.8,3,3.1,0,1,3,0,0.0
2021,,23.0,30,28.3,2,10,18,14,46.7
2022,,22.7,16,16.2,0,15,14,5,31.3
Player,,22.6,53,51.2,2,29,38,20,37.7
