Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2018,BAL,AL,191,61,57,2,0,.279,13,1,20,770,4.031,.194,.021,.459,.124,2,0
2019,BAL,AL,74,10,32,2,1,.118,2,2,12,295,3.986,.189,.000,.286,.063,1,0
2020,BAL,AL,153,57,48,4,0,.350,10,0,12,602,3.935,.242,.020,.216,.136,0,0
2021,BAL,AL,675,312,188,1,4,.322,72,2,72,2588,3.834,.185,.044,.472,.228,4,1
2022,BAL,AL,672,245,210,1,5,.299,52,4,55,2460,3.661,.188,.024,.373,.145,7,1
5 Seasons,BAL,AL,1765,685,535,10,10,.302,149,9,171,6715,3.805,.192,.030,.398,.170,14,2
