 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,115,85.4,82.5,--,--,--,--,--,--,--,--,2,--,111,82.0,2,--
2021,559,90.6,83.8,--,--,--,--,--,--,--,--,--,--,559,83.8,--,--
2022,501,95.2,85.9,--,--,--,--,--,--,--,--,--,--,501,85.9,--,--
