 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2018,12,28,42.9,0,-1.3,0.7,0.8,0.2,34.1
2019,12,16,75,2,-0.7,1.1,0.8,1.2,35.1
2020,18,21,85.7,4,-0.6,2.5,-1.3,0.6,34.3
2021,55,94,58.5,6,-0.8,0.9,0.7,0.8,34.6
2022,54,103,52.4,7,-0.5,1,0.6,1.1,35.2
