 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,277,15.8,42.2%,0.4%,118,21.4,2.5%,6.8%
2019,,100,15.8,36.0%,4.0%,40,21.7,2.5%,7.5%
2020,,193,16.4,41.5%,3.1%,77,22.3,2.6%,3.9%
2021,,894,16.4,35.2%,1.3%,368,22.3,2.2%,10.6%
2022,,763,17.2,26.2%,2.4%,317,22.2,1.3%,13.6%
