Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,485",60.4,357,312,89,63,16,1,9,59,256,.285,.252,.429,.385,.350,.323,88.0,15,21.8,16.5
2022,Breaking,631,25.7,201,187,40,25,8,1,6,48,141,.214,.185,.364,.285,.271,.233,85.6,20,24.2,20.2
2022,Offspeed,344,14.0,112,109,28,17,8,2,1,19,91,.257,.257,.394,.356,.284,.277,88.1,12,19.9,17.6
2021,Fastballs,"1,569",60.6,376,332,99,61,16,2,20,58,277,.298,.287,.539,.507,.387,.376,89.4,14,16.2,17.2
2021,Breaking,690,26.7,185,167,47,27,14,0,6,43,125,.281,.253,.473,.383,.352,.314,85.9,15,28.3,19.0
2021,Offspeed,329,12.7,111,103,29,15,7,3,4,24,80,.282,.253,.524,.357,.352,.284,87.8,11,23.8,20.7
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
