Season,Team,Pos,PA,Depth (ft.),Angle
2018,BAL,7,3,301,-26
2018,BAL,8,1672,313,0
2019,BAL,8,721,328,2
2020,BAL,9,97,294,28
2020,BAL,7,43,297,-28
2020,BAL,8,1316,322,0
2021,BAL,8,5625,321,0
2022,BAL,8,5267,318,0
