Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2018,1,,0,0,0,0,0,0,0,1,86,87,1
2019,3,,0,0,0,1,2,0,1,2,89,94,5
2020,5,,2,0,1,3,1,0,1,2,92,97,5
2021,10,,4,1,2,7,3,-1,1,3,88,91,3
2022,9,,2,1,4,7,2,-2,3,2,85,87,2
