PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(W, 9-6)",7.0,2,0,0,0,10,0,3.00
Brebbia,1.0,2,0,0,0,1,0,2.33
Doval,1.0,0,0,0,0,2,0,3.14
,9.0,4,0,0,0,13,0,
