PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Sampson(L, 0-2)",4.0,5,4,4,1,6,0,3.74
Hughes,1.0,0,0,0,1,1,0,3.18
Wick,1.0,1,0,0,0,1,0,4.36
Brault,0.1,2,0,0,1,0,0,0.00
Uelmen,1.2,1,0,0,0,3,0,1.80
,8.0,9,4,4,3,11,0,
