Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,25.0,15,15.9,-1,10,9,9,60.0
2020,,26.5,9,8.6,0,3,9,3,33.3
2021,,27.4,48,48.1,0,11,37,17,35.4
2022,,28.9,32,30.5,2,10,20,16,50.0
Player,,27.5,104,103.1,1,34,75,45,43.3
