Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,R,514,37,7.2,.324,.399
2020,R,242,32,13.2,.327,.408
2021,R,645,61,9.5,.395,.589
2022,R,700,50,7.1,.351,.363
