Season,Team,Pos,PA,Depth (ft.),Angle
2019,TOR,5,3607,117,-29
2020,TOR,3,1326,107,34
2021,TOR,5,7,116,-33
2021,TOR,3,4532,108,35
2022,TOR,3,4670,110,35
2022,TOR,5,7,120,-30
