BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Rengifo2B-RF,4,0,2,1,0,1,0,.295,.766
TroutCF,4,0,0,0,0,0,3,.310,1.070
OhtaniP-DH,2,0,0,1,1,1,1,.249,.764
b-WardPH-DH,1,0,0,0,0,0,0,.367,1.183
Rendon3B,4,0,0,0,0,0,3,.242,.738
Duffy1B-2B,4,1,2,0,0,0,0,.263,.604
StassiC,4,0,2,0,0,0,1,.233,.693
LagaresRF,2,0,0,0,0,0,1,.000,.000
a-WalshPH-1B,2,0,1,0,0,0,2,.247,.773
MarshLF,4,1,2,1,0,1,1,.280,.735
"Velazquez, ASS",4,1,1,0,0,2,3,.200,.556
,35,3,10,3,1,5,15,,
