BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF-RF,4,2,2,1,0,1,2,.278,.883
Espinal2B,4,1,1,1,0,1,2,.283,.754
GuerreroDH,4,1,1,1,0,2,2,.263,.816
BichetteSS,4,0,2,2,0,2,0,.246,.680
"Chapman, M3B",4,0,0,0,0,2,2,.187,.623
"Tapia, RRF",3,0,0,0,0,2,1,.223,.524
ZimmerCF,1,0,0,0,0,1,0,.128,.435
"Jansen, DC",4,1,1,1,0,1,0,.303,1.240
Gurriel Jr.LF,2,1,0,0,2,0,0,.221,.600
Biggio1B,3,0,0,0,1,3,1,.038,.257
,33,6,7,6,3,15,10,,
