PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Ohtani(L, 3-3)",6.0,6,5,5,1,10,2,3.45
Barria,3.0,1,1,1,2,5,1,1.71
,9.0,7,6,6,3,15,3,
