Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Memphis Redbirds,Triple-A,Home Games,0,1,2.84,2,2,0,6.1,28,8,2,2,1,2,5,1.58
Springfield Cardinals,Double-A,Home Games,1,0,6.97,2,2,0,10.1,43,15,8,8,3,3,7,1.74
Peoria Chiefs,High-A,Home Games,1,0,3.86,1,1,0,7.0,26,6,3,3,0,0,8,0.86
Memphis Redbirds,Triple-A,Away Games,1,0,2.08,3,3,0,13.0,45,9,3,3,1,1,8,0.77
Memphis Redbirds,Triple-A,Day Games,1,0,0.00,1,1,0,6.0,21,4,0,0,0,1,3,0.83
Memphis Redbirds,Triple-A,Night Games,0,1,3.38,4,4,0,13.1,52,13,5,5,2,2,10,1.13
Springfield Cardinals,Double-A,Night Games,1,0,6.97,2,2,0,10.1,43,15,8,8,3,3,7,1.74
Peoria Chiefs,High-A,Night Games,1,0,3.86,1,1,0,7.0,26,6,3,3,0,0,8,0.86
Memphis Redbirds,Triple-A,Leading Off,,,,5,,,4.1,20,7,,,1,0,2,1.62
Springfield Cardinals,Double-A,Leading Off,,,,2,,,2.2,11,2,,,0,1,2,1.13
Peoria Chiefs,High-A,Leading Off,,,,1,,,1.2,7,2,,,0,0,3,1.20
Peoria Chiefs,High-A,Late / Close,,,,1,,,1.0,4,1,,,0,0,1,1.00
