BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempLF,3,0,1,0,2,1,0,.235,.603
LaureanoRF,5,0,0,0,0,0,6,.255,.692
Lowrie2B,4,0,0,0,0,0,0,.207,.582
"Murphy, SC",3,1,0,0,0,1,0,.199,.637
BethancourtDH,4,2,3,2,0,0,0,.245,.669
AndrusSS,3,1,1,0,1,0,1,.242,.684
Davidson1B,2,0,0,0,0,1,1,.105,.490
"a-Brown, SPH-1B",2,0,1,2,0,1,0,.211,.671
"Smith, K3B",3,0,0,0,1,1,1,.184,.524
PacheCF,3,0,1,0,0,1,0,.166,.443
b-BarreraPH,1,0,1,0,0,0,0,.242,.669
,33,4,8,4,4,6,9,,
