PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Jn",6.0,4,3,3,0,3,2,3.96
"Burke(L, 7-5)(BS, 5)",1.1,4,2,2,0,1,1,1.97
"Santana, D",0.2,0,0,0,0,1,0,5.31
"Hernández, J",1.0,0,0,0,1,1,0,2.97
,9.0,8,5,5,1,6,3,
