PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Taillon,6.0,7,4,4,2,5,1,3.91
"Chapman(W, 4-4)",1.0,0,0,0,0,2,0,4.46
"Weissert(H, 2)",1.0,0,0,0,0,1,0,5.56
"Loáisiga(S, 2)",1.0,1,0,0,0,0,0,4.13
,9.0,8,4,4,2,8,1,
