BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Castro, H3B",5,1,1,0,0,1,2,.281,.753
Schoop2B,4,0,2,0,0,0,0,.198,.566
"Cabrera, MDH",4,0,1,1,0,2,1,.297,.723
"1-Castro, WPR-DH",0,0,0,0,0,0,0,.258,.633
MeadowsRF-LF,3,0,2,0,1,0,2,.269,.715
"Báez, JSS",4,0,0,0,0,3,6,.200,.544
Torkelson1B,3,0,0,0,1,1,1,.190,.605
ClemensLF,3,0,0,0,0,1,1,.000,.063
"Hill, DCF",1,0,0,0,0,0,0,.225,.555
HaaseC,4,2,1,0,0,2,1,.171,.492
CameronCF-RF,4,0,2,2,0,1,0,.232,.670
,35,3,9,3,2,11,14,,
