PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Keller, M",6.0,4,1,1,2,7,0,5.26
"Crowe(L, 2-3)",1.1,3,1,1,0,3,0,2.38
Stratton,1.2,2,1,1,0,1,0,3.75
,9.0,9,3,3,2,11,0,
