BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hayes3B,3,0,0,0,1,2,2,.285,.761
"Reynolds, BCF",4,0,0,0,0,2,3,.216,.690
SuwinskiLF,3,1,1,1,0,2,1,.235,.751
Chavis1B,1,0,0,0,0,0,0,.270,.762
VogelbachDH,3,0,0,0,1,1,1,.236,.757
"Castillo, DSS",4,0,1,0,0,1,0,.218,.567
MitchellRF,4,0,0,0,0,2,2,.227,.693
Marcano2B,3,0,0,0,0,2,0,.250,.833
Chang1B,1,0,1,0,1,0,0,.087,.290
a-SwaggertyPH-LF,1,0,0,0,0,1,0,.000,.000
"Perez, MC",3,0,1,0,0,0,1,.122,.449
,30,1,4,1,3,13,10,,
