PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cease(L, 4-3)",4.2,6,6,0,3,8,0,3.14
Foster,0.1,0,0,0,1,1,0,2.55
Sousa,0.2,3,4,4,1,0,1,8.20
"López, R",0.1,0,0,0,0,1,0,4.30
Crick,2.0,1,0,0,1,3,0,2.70
"Ruiz, J",1.0,2,1,1,1,2,0,5.23
,9.0,12,11,5,7,15,1,
