PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Anderson,3.0,4,4,4,3,2,0,3.07
"Graterol(W, 2-2)",1.0,0,0,0,0,0,0,4.44
"Bickford(H, 2)",1.0,1,1,1,0,0,1,4.67
Ferguson,1.0,0,0,0,0,2,0,0.00
"Phillips, E",1.0,0,0,0,0,1,0,2.28
Vesia,1.0,2,2,1,2,2,0,3.63
"Hudson, D",1.0,3,2,2,1,2,0,2.66
,9.0,10,9,8,6,9,1,
