PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Stripling(L, 4-3)",4.2,7,4,3,1,3,1,3.32
Thornton,0.2,3,3,3,2,1,2,4.41
"Richards, T",1.1,1,0,0,1,0,0,6.30
Gage,1.1,2,0,0,0,1,0,1.38
Phelps,1.0,1,0,0,0,2,0,3.13
,9.0,14,7,6,4,7,3,
