PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Baz(W, 1-1)",6.0,7,1,1,2,7,0,2.92
Ogando,2.0,1,1,1,1,1,0,4.50
Armstrong,0.1,3,1,1,1,1,0,5.95
"Adam(S, 3)",0.2,0,0,0,0,2,0,1.44
,9.0,11,3,3,4,11,0,
