Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Scranton/Wilkes-Barre RailRiders,Triple-A,vs Left,,,,1,,,0.2,2,0,,,0,0,0,0.00
Somerset Patriots,Double-A,vs Left,,,,2,,,1.2,13,5,,,0,2,1,4.20
Scranton/Wilkes-Barre RailRiders,Triple-A,vs Right,,,,1,,,2.1,11,2,,,1,2,4,1.71
Somerset Patriots,Double-A,vs Right,,,,2,,,3.1,16,2,,,0,3,4,1.50
