PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Rogers, Tr(W, 3-5)",5.0,6,2,2,1,5,0,5.58
Nance,1.0,2,2,2,1,0,0,4.26
"Bleier(H, 3)",0.2,0,0,0,1,1,0,5.27
"Bass(H, 9)",1.1,1,0,0,0,1,0,2.01
"Scott, Tan(S, 3)",1.0,0,0,0,0,2,0,4.43
,9.0,9,4,4,3,9,0,
