BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LLF",4,1,2,1,1,1,0,.233,.709
Adrianza2B,5,0,0,0,0,3,5,.182,.364
"Soto, JRF",5,0,1,2,0,0,2,.225,.819
Bell1B,3,0,2,0,1,0,2,.300,.791
Franco3B,4,0,1,0,0,2,5,.270,.685
"Hernandez, YDH",4,0,0,0,0,0,2,.265,.711
AdamsC,4,0,2,0,0,1,1,.226,.665
"García, LSS",3,1,0,0,1,2,2,.300,.780
RoblesCF,3,2,1,0,0,0,1,.237,.613
,35,4,9,3,3,9,20,,
