PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Strasburg(L, 0-1)",4.2,8,7,7,2,5,1,13.50
Ramirez,1.1,1,0,0,0,0,0,3.38
Weems,1.0,1,0,0,1,1,0,10.38
Espino,1.0,0,0,0,0,1,0,2.03
,8.0,10,7,7,3,7,1,
