PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"White, M",4.2,3,1,1,3,3,0,3.72
Pop,0.2,1,0,0,0,0,0,3.04
Cimber,0.2,0,0,0,0,1,0,3.17
"Bass(W, 3-3)",1.0,0,0,0,0,0,0,1.46
"Garcia, Y(H, 18)",0.2,1,0,0,0,1,0,2.93
"Romano(S, 26)",1.1,1,0,0,1,2,0,2.51
,9.0,6,1,1,4,7,0,
