BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,0,0,1,1,2,.296,.764
"Rosario, ASS",4,0,1,0,0,1,1,.283,.724
"Ramírez, Jo3B",4,0,0,0,0,1,3,.282,.897
"Naylor, J1B",3,0,1,0,1,0,0,.272,.809
"1-Miller, OPR-1B",0,0,0,0,0,0,0,.240,.655
Gimenez2B,2,0,2,1,2,0,0,.307,.857
"Gonzalez, ODH",4,0,0,0,0,1,6,.296,.764
"Jones, NRF",4,0,0,0,0,1,2,.266,.738
MaileC,3,0,1,0,0,1,0,.226,.651
a-BensonPH,1,0,1,0,0,0,0,.150,.340
StrawCF,4,0,0,0,0,1,2,.208,.550
,33,1,6,1,4,7,16,,
