Season,Team,Pos,PA,Depth (ft.),Angle
2020,BAL,3,346,105,35
2020,BAL,7,803,302,-28
2021,BAL,7,638,303,-27
2021,BAL,3,3077,111,36
2022,BAL,3,4478,109,37
