,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,609,555,62,139,22,85,4,.250,.305,.423,.728
3 Seasons,1335,1215,151,317,60,197,8,.261,.315,.458,.773
