Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2020,0,,0,-1,0,-1,0,0,0,0,93,92,-1
2021,-7,,0,-2,0,-2,-2,0,-3,-5,87,68,-19
