 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2020,,140,520,2,2,1,3,8
2021,,584,"2,295",3,-15,7,11,5
2022,,608,"2,339",-1,-16,9,9,1
