Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2020,,23.2,5,5.1,0,1,3,3,60.0
2021,,23.7,33,28.5,5,6,24,10,30.3
2022,,24.1,22,27.6,-6,13,21,10,45.5
Player,,23.8,60,61.2,-1,20,48,23,38.3
