Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2020,BAL,AL,1B,10,9,75.0,55,48,6,1,6,,.982
2020,BAL,AL,LF,25,23,192.1,33,33,0,0,0,,1.000
2020,BAL,AL,DH,2,2,0.0,0,0,0,0,0,,.000
2021,BAL,AL,1B,84,82,704.0,661,622,38,1,56,,.998
2021,BAL,AL,LF,21,18,144.0,28,26,1,1,0,,.964
2021,BAL,AL,DH,41,40,0.0,0,0,0,0,0,,.000
2022,BAL,AL,1B,124,123,1079.1,1042,963,74,5,111,,.995
2022,BAL,AL,DH,21,21,0.0,0,0,0,0,0,,.000
3 Seasons,BAL,AL,1B,218,214,1858.1,1758,1633,118,7,173,,.996
,BAL,AL,LF,46,41,336.1,61,59,1,1,0,,.984
,BAL,AL,DH,64,63,0.0,0,0,0,0,0,,.000
