Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2020,23,28.0,4.35,1,22,10,114,77.4
2021,24,28.1,4.44,,4,20,169,75.1
2022,25,27.5,4.51,,9,34,296,52.6
