PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Brieske(L, 0-5)",6.0,3,2,2,1,7,2,4.93
Foley,1.0,0,0,0,0,1,0,2.70
"Jiménez, J",0.1,1,1,1,2,0,0,3.26
Chafin,0.2,0,0,0,0,1,0,2.77
,8.0,4,3,3,3,9,2,
