PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Megill(L, 4-1)",5.1,4,3,3,2,9,0,2.43
Ottavino,0.0,2,3,3,1,0,0,6.52
Williams,3.2,3,3,3,1,6,1,8.59
,9.0,9,9,9,4,15,1,
