BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.DH,5,0,1,1,0,3,3,.200,.526
Olson1B,4,0,0,1,1,0,1,.283,.880
Riley3B,5,1,1,0,0,4,2,.270,.910
OzunaLF,5,1,1,0,0,2,1,.224,.640
Albies2B,5,1,1,0,0,1,1,.217,.717
d'ArnaudC,3,1,0,1,1,2,0,.300,.786
DuvallCF,4,1,2,2,0,1,0,.191,.537
SwansonSS,3,2,2,1,1,0,2,.233,.674
HerediaRF,3,2,1,2,1,2,3,.133,.602
,37,9,9,8,4,15,13,,
