 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2013,,21,15.1,42.9%,0.0%,10,18.0,30.0%,10.0%
2014,,315,15.6,41.0%,1.6%,146,22.2,4.1%,10.3%
2015,,495,16.5,36.2%,2.8%,255,22.7,4.7%,15.3%
2016,,827,16.0,41.1%,1.1%,402,22.1,9.7%,15.2%
2017,,854,15.8,40.4%,1.1%,465,21.5,1.5%,8.8%
2018,,1027,16.1,38.0%,1.6%,581,21.9,2.6%,9.0%
2019,,691,16.1,37.3%,1.3%,414,22.3,1.0%,11.4%
2020,,368,16.7,35.1%,0.8%,213,23.3,0.9%,11.7%
2021,,814,17.1,28.7%,1.4%,527,22.7,0.8%,11.6%
2022,,824,17.4,24.8%,2.1%,494,22.1,2.0%,9.5%
