BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,5,0,2,0,0,1,3,.150,.561
BrantleyDH,3,0,0,0,2,1,1,.300,.791
Bregman3B,3,0,0,1,1,0,4,.333,.994
TuckerRF,5,0,0,0,0,1,6,.130,.591
Gurriel1B,4,0,0,0,0,1,3,.167,.500
DíazLF,4,0,0,0,0,2,0,.150,.490
SiriCF,0,0,0,0,0,0,0,.455,1.356
McCormickCF-LF,4,1,3,0,0,1,0,.438,1.001
PeñaSS,4,1,1,0,0,0,2,.292,.820
MaldonadoC,2,0,0,1,0,1,1,.000,.200
a-CastroPH-C,0,0,0,0,1,0,0,.000,.375
,34,2,6,2,4,8,20,,
