BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
HummelDH,2,0,1,0,4,1,1,.167,.861
"Marte, K2B",3,0,1,2,0,1,2,.143,.459
PeraltaLF,5,0,0,0,0,3,8,.174,.631
"Walker, C1B",3,0,0,0,2,0,2,.158,.807
"Kelly, CC",3,0,0,0,0,1,5,.000,.063
a-VarshoPH-CF,2,0,1,0,0,1,0,.125,.458
"Smith, PRF",4,1,2,0,0,1,0,.200,.533
"Herrera, JC",1,0,0,0,0,0,1,.000,.143
"1-Alcántara, SePR",0,1,0,0,0,0,0,.167,.500
McCarthyCF-RF,2,0,0,0,2,1,0,.167,.542
"Hernandez, Y3B",4,0,0,0,0,1,4,.000,.000
b-BeerPH,1,1,1,1,0,0,0,.308,.895
PerdomoSS,3,0,0,0,1,3,2,.067,.431
,33,3,6,3,9,13,25,,
